Age,Gender,Zip_Code,Education,Employment
35,Male,36270,HS-grad,Private
35,Male,135162,Some-college,Private
35,Female,229328,HS-grad,Private
35,Male,285020,HS-grad,Private
35,Male,368825,Some-college,Self-emp-inc
35,Female,153790,Some-college,Private
35,Male,186110,HS-grad,Private
35,Female,32220,Assoc-acdm,Private
35,Male,290226,HS-grad,Private
35,Male,233327,Some-college,Local-gov
35,Male,203628,Masters,Private
35,Male,193815,Assoc-acdm,Private
35,Male,92440,12th,Private
35,Male,261293,Masters,Private
35,Male,292472,Doctorate,Private
35,Male,76845,9th,Federal-gov
35,Male,54576,HS-grad,Private
35,Male,372525,Bachelors,Self-emp-not-inc
35,Male,129305,HS-grad,?
35,Female,220098,HS-grad,Private
35,Male,194404,Assoc-acdm,Self-emp-not-inc
35,Male,465507,HS-grad,Private
35,Male,152375,HS-grad,Private
35,Male,234901,Some-college,Private
35,Male,138992,Masters,Private
35,Male,538583,11th,Private
35,Female,190174,Some-college,Private
35,Male,56352,Assoc-voc,Private